timestamp,frame_differencing,background_subtraction,contour_detection,ssim,mean
2025-03-16 01:00:14,,,,,
2025-03-16 01:00:14,,,,,
2025-03-16 01:00:14,,,,,
2025-03-16 01:00:15,0.01,0.0,0.0,22.65,5.66
2025-03-16 01:00:16,0.0,0.0,0.0,38.11,9.53
2025-03-16 01:00:16,,,,,
2025-03-16 01:00:17,0.0,0.0,0.0,37.54,9.39
2025-03-16 01:00:18,0.01,0.0,0.0,23.15,5.79
2025-03-16 01:00:19,0.02,0.0,0.0,23.85,5.97
2025-03-16 01:00:20,0.02,0.0,0.0,23.98,6.0
2025-03-16 01:00:21,0.04,0.0,0.0,14.63,3.67
2025-03-16 01:00:21,,,,,
2025-03-16 01:00:22,,,,,
2025-03-16 01:00:22,,,,,
2025-03-16 01:00:22,0.03,0.0,0.0,9.09,2.28
2025-03-16 01:00:23,0.03,0.0,0.0,9.16,2.3
2025-03-16 01:00:24,0.04,0.0,0.0,5.98,1.5
2025-03-16 01:00:24,,,,,
2025-03-16 01:00:25,0.03,0.0,0.0,8.82,2.21
2025-03-16 01:00:26,0.02,0.0,0.0,14.2,3.55
2025-03-16 01:00:27,0.58,0.32,0.37,0.4,0.42
2025-03-16 01:00:27,,,,,
2025-03-16 01:00:27,,,,,
2025-03-16 01:00:28,28.12,15.95,28.43,17.11,22.4
2025-03-16 01:00:29,29.73,17.62,29.19,20.95,24.37
2025-03-16 01:00:29,,,,,
2025-03-16 01:00:30,42.56,23.85,41.63,26.28,33.58
2025-03-16 01:00:31,32.94,25.02,32.19,26.25,29.1
2025-03-16 01:00:32,32.92,21.97,32.06,23.42,27.59
2025-03-16 01:00:33,28.29,16.53,27.38,19.58,22.95
2025-03-16 01:00:34,59.94,37.5,62.73,42.04,50.56
2025-03-16 01:00:35,28.2,6.89,28.37,21.96,21.36
2025-03-16 01:00:36,36.4,8.15,39.24,18.56,25.59
2025-03-16 01:00:37,35.25,6.99,36.78,18.23,24.31
2025-03-16 01:00:37,,,,,
2025-03-16 01:00:38,,,,,
2025-03-16 01:00:38,26.97,6.57,28.74,19.27,20.39
2025-03-16 01:00:39,23.34,5.92,24.46,19.65,18.34
